1138_bus,1K,0.0M,0.0M.1,0.0M.2,1.00,0.1390000000,0.2609784305,0.01,0.00,12.51
bcsstk30,29K,2.0M,347.0M,8.9M,19.0,5.0026,69.3564910889,0.13,0.37,947.73
pre2,659K,6.0M,835.1M,323.4M,1.0,61.0147,13.6873865128,1.23,4.93,169.34
bcsstk35,30K,1.5M,151.3M,4.6M,16.0,2.0985,72.1227798462,0.07,0.14,1065.84
bcsstk36,23K,1.1M,120.3M,3.6M,16.0,1.6969,70.8715286255,0.05,0.11,1059.58
crystk02,14K,1.0M,140.5M,3.9M,17.0,2.3971,58.6128463745,0.06,0.18,784.92
crystk03,25K,1.8M,258.3M,7.2M,17.0,5.6155,45.9899597168,0.11,0.46,566.23
ct20stif,52K,2.7M,308.5M,10.0M,15.0,4.9806,61.9352416992,0.15,0.35,869.68
msc10848,11K,1.2M,329.0M,6.2M,26.0,5.0059,65.724357605,0.11,0.39,848.62
msc23052,23K,1.2M,121.9M,3.6M,16.0,2.0663,59.0096740723,0.05,0.15,795.38
pcrystk02,14K,1.0M,140.5M,3.9M,17.0,2.3957,58.6470985413,0.06,0.18,791.55
pcrystk03,25K,1.8M,258.3M,7.2M,17.0,5.6092,46.0416145325,0.11,0.45,567.97
pct20stif,52K,2.7M,308.5M,10.0M,15.0,4.9858,61.8706474304,0.15,0.36,866.26
pwtk,218K,11.6M,1252.1M,32.8M,19.0,13.7297,91.1970977783,0.58,0.81,1542.58
circuit_4,80K,0.3M,177.1M,87.1M,1.0,376.082,0.471037209,3.45,34.29,5.17
rma10,47K,2.4M,313.0M,7.9M,19.0,4.0533,77.2112884521,0.11,0.29,1071.05
ex11,17K,1.1M,153.6M,4.5M,17.0,2.3991,64.0272750854,0.07,0.17,915.42
li,23K,1.4M,199.4M,8.5M,11.0,4.8709,40.9364128113,0.12,0.37,539.2
pli,23K,1.4M,199.4M,8.5M,11.0,4.9034,40.6650848389,0.12,0.37,535.01
nasasrb,55K,2.7M,269.3M,8.3M,16.0,4.478,60.1296043396,0.12,0.33,812.74
nemeth01,10K,0.7M,112.8M,1.7M,32.0,1.228,91.8475189209,0.05,0.07,1644.15
nemeth18,10K,0.7M,102.3M,1.5M,34.0,1.1518,88.8170547485,0.05,0.06,1644.69
nemeth19,10K,0.8M,142.0M,1.8M,39.0,1.345,105.5503845215,0.06,0.07,1892.87
nemeth20,10K,1.0M,201.1M,2.2M,46.0,1.7741,113.335609436,0.07,0.11,1896.87
nemeth21,10K,1.2M,293.7M,2.6M,56.0,2.4241,121.1666183472,0.09,0.15,1908.51
nemeth22,10K,1.4M,394.2M,3.1M,64.0,3.0634,128.6930847168,0.1,0.2,1956.52
nemeth23,10K,1.5M,488.9M,3.4M,71.0,3.6484,134.0011749268,0.12,0.25,1976.11
nemeth24,10K,1.5M,489.8M,3.5M,70.0,3.6561,133.9593200684,0.12,0.25,1963.0
nemeth25,10K,1.5M,492.9M,3.5M,70.0,3.6598,134.6777801514,0.12,0.25,1973.94
nemeth26,10K,1.5M,492.9M,3.5M,70.0,3.6687,134.3513336182,0.12,0.25,1976.32
xenon2,157K,3.9M,195.1M,14.0M,6.0,4.3001,45.374458313,0.21,0.23,853.15
3dtube,45K,3.2M,598.8M,23.7M,12.0,17.8462,33.5513000488,0.45,1.26,475.4
cfd2,123K,3.1M,158.2M,13.4M,5.0,3.9731,39.8099212646,0.18,0.23,699.86
gearbox,154K,9.1M,1145.6M,32.7M,17.0,21.404,53.5232467651,0.52,1.59,720.37
appu,14K,1.9M,527.9M,133.1M,1.0,483.4979,1.0917571783,3.14,44.69,11.81
bbmat,39K,1.8M,192.8M,11.6M,8.0,3.5981,53.5735473633,0.15,0.21,907.55
olafu,16K,1.0M,132.6M,3.4M,19.0,1.9444,68.209022522,0.06,0.13,1013.18
raefsky3,21K,1.5M,210.8M,4.1M,26.0,2.2332,94.3912277222,0.1,0.12,1719.37
raefsky4,20K,1.3M,188.6M,5.3M,17.0,2.8036,67.2580413818,0.08,0.2,947.09
av41092,41K,1.7M,138.5M,20.9M,3.0,44.8591,3.0873303413,0.57,3.89,35.62
bcsstk39,47K,2.1M,189.0M,5.9M,16.0,2.8022,67.4299468994,0.09,0.2,967.0
pkustk01,22K,1.0M,105.1M,3.7M,14.0,1.9437,54.0467300415,0.06,0.14,770.73
pkustk02,11K,0.8M,141.7M,2.5M,28.0,2.0288,69.8218307495,0.06,0.14,979.63
pkustk03,63K,3.1M,327.1M,8.9M,18.0,4.9059,66.6732406616,0.13,0.36,902.07
pkustk05,37K,2.2M,306.8M,9.0M,17.0,5.2036,58.9501190186,0.13,0.39,781.34
pkustk06,43K,2.6M,359.8M,10.6M,16.0,6.0761,59.2236938477,0.15,0.46,789.14
pkustk07,17K,2.4M,820.0M,13.9M,29.0,11.5808,70.8106079102,0.2,0.96,854.3
pkustk08,22K,3.2M,1105.8M,18.9M,29.0,15.3224,72.1679534912,0.27,1.27,870.7
pkustk09,34K,1.6M,161.9M,4.5M,18.0,2.3297,69.4875335693,0.06,0.17,959.03
pkustk10,81K,4.3M,467.3M,12.2M,19.0,6.1284,76.2445755005,0.16,0.45,1033.76
pkustk11,88K,5.2M,730.2M,21.4M,17.0,11.1627,65.4147567749,0.28,0.84,872.93
pkustk13,95K,6.6M,1126.0M,39.5M,14.0,18.5781,60.6087150574,0.55,1.32,853.67
pkustk14,152K,14.8M,3555.0M,72.6M,24.0,51.8534,68.5581207275,1.2,4.02,883.82
kim2,457K,11.3M,564.0M,36.6M,7.0,10.7605,52.4137802124,0.56,0.54,1045.41
torso3,259K,4.4M,158.5M,21.2M,3.0,5.9522,26.6284790039,0.32,0.29,539.11
cage13,445K,7.5M,274.7M,60.6M,2.0,18.0289,15.2346715927,0.84,0.97,283.89
cage14,1506K,27.1M,1064.4M,237.0M,2.0,56.0605,18.9868354797,1.55,3.98,267.48
cage15,5155K,99.2M,4157.3M,929.0M,2.0,327.1379,12.7079839706,18.44,15.54,267.6
sinc18,16K,1.0M,128.2M,46.4M,1.0,34.8479,3.6799311638,0.52,3.03,42.39
ns3Da,20K,1.7M,355.1M,12.5M,14.0,9.7251,36.5097961426,0.18,0.79,448.54
poisson3Db,86K,2.4M,168.8M,21.9M,3.0,6.2238,27.1240234375,0.28,0.36,475.0
sme3Da,13K,0.9M,152.9M,5.8M,13.0,3.6511,41.8890686035,0.08,0.28,542.34
sme3Db,29K,2.1M,377.9M,15.1M,12.0,8.6472,43.6976585388,0.2,0.67,567.7
sme3Dc,43K,3.1M,579.3M,22.7M,12.0,13.6575,42.416721344,0.33,1.04,556.97
nd3k,9K,3.3M,2551.9M,18.5M,69.0,29.6717,86.0059661865,0.38,2.59,986.53
nd6k,18K,6.9M,5572.2M,42.2M,66.0,72.2401,77.1337585449,0.84,6.38,873.19
nd12k,36K,14.2M,11733.6M,90.9M,64.0,161.6617,72.5813446045,1.85,14.16,828.86
nd24k,72K,28.7M,23757.7M,189.2M,62.0,339.2839,70.0231781006,3.98,29.93,793.88
af_shell1,505K,17.6M,1227.2M,47.6M,12.0,18.6982,65.6328277588,0.8,1.1,1115.55
af_shell2,505K,17.6M,1227.2M,47.6M,12.0,17.89,68.5978622437,0.74,1.01,1217.84
af_shell3,505K,17.6M,1227.2M,47.6M,12.0,18.5552,66.1386413574,0.74,1.01,1217.6
af_shell4,505K,17.6M,1227.2M,47.6M,12.0,18.7079,65.5987930298,0.8,1.1,1115.65
af_shell5,505K,17.6M,1227.2M,47.6M,12.0,18.3105,67.0225143433,0.74,1.01,1217.36
af_shell6,505K,17.6M,1227.2M,47.6M,12.0,18.7131,65.5805664062,0.8,1.1,1116.46
af_shell7,505K,17.6M,1227.2M,47.6M,12.0,18.1142,67.7488250732,0.74,1.01,1217.36
af_shell8,505K,17.6M,1227.2M,47.6M,12.0,18.6717,65.7259750366,0.8,1.06,1152.96
af_shell9,505K,17.6M,1227.2M,47.6M,12.0,18.6991,65.6296691895,0.8,1.1,1115.85
c-62,42K,0.6M,113.3M,38.1M,1.0,123.9084,0.9141755104,1.05,11.38,9.95
c-66,50K,0.5M,143.4M,41.8M,1.0,130.7705,1.0966134071,1.05,11.25,12.75
c-67,58K,0.5M,241.8M,41.5M,2.0,46.6415,5.1839575768,0.52,4.29,56.42
ohne2,181K,11.1M,1511.2M,72.4M,10.0,57.4436,26.3074588776,1.19,4.42,341.59
para-10,156K,5.4M,531.1M,78.1M,3.0,192.2413,2.7625336647,2.93,16.32,32.55
para-4,153K,5.3M,491.5M,61.6M,3.0,120.2619,4.0866894722,1.36,10.65,46.13
para-5,156K,5.4M,531.1M,78.1M,3.0,192.9004,2.7530946732,3.04,16.31,32.57
para-6,156K,5.4M,531.1M,78.1M,3.0,192.7643,2.7550384998,3.04,16.3,32.59
para-7,156K,5.4M,531.1M,78.1M,3.0,192.9386,2.7525496483,3.04,16.31,32.56
para-8,156K,5.4M,531.1M,78.1M,3.0,194.2421,2.7340779305,3.04,16.31,32.56
para-9,156K,5.4M,531.1M,78.1M,3.0,192.9207,2.7528049946,3.04,16.31,32.56
Stanford_Berkeley,683K,7.6M,444.2M,78.1M,2.0,909.7501,0.4883029759,4.2,86.91,5.11
gyro_k,17K,1.0M,155.8M,5.8M,13.0,2.8504,54.6572875977,0.08,0.21,757.76
t3dh_a,79K,4.4M,511.9M,25.0M,10.0,12.6099,40.5935592651,0.35,0.93,552.91
t3dh_e,79K,4.4M,511.9M,25.0M,10.0,11.4402,44.7440338135,0.31,0.85,603.56
bmw3_2,227K,11.3M,1207.7M,36.1M,16.0,18.8392,64.1062393188,0.58,1.32,917.78
c-58,38K,0.6M,157.6M,40.5M,1.0,132.9017,1.1859771013,1.05,12.24,12.87
c-62ghs,42K,0.6M,113.3M,38.1M,1.0,123.756,0.9153012633,1.05,11.37,9.96
c-71,77K,0.9M,150.3M,52.5M,1.0,250.4265,0.6001738906,1.89,23.35,6.44
audikw_1,944K,77.7M,16179.5M,662.9M,12.0,268.2286,60.3197021484,6.34,20.47,790.58
bmw7st_1,141K,7.3M,808.0M,23.6M,17.0,12.3462,65.4467391968,0.38,0.86,937.7
bmwcra_1,149K,10.6M,1625.0M,49.7M,16.0,27.7303,58.6004333496,0.75,2.05,793.11
crankseg_1,53K,10.6M,5097.4M,75.1M,33.0,80.5386,63.2910995483,1.26,6.72,758.02
crankseg_2,64K,14.1M,7445.4M,104.6M,35.0,152.2649,48.8979148865,3.19,11.93,624.09
crplat2,18K,1.0M,104.6M,2.7M,19.0,1.369,76.3918762207,0.04,0.1,1096.23
fcondp2,202K,11.3M,1300.7M,34.8M,18.0,17.059,76.2449188232,0.56,1.17,1116.16
fullb,199K,11.7M,1440.3M,39.4M,18.0,22.7231,63.3834533691,0.68,1.48,973.35
halfb,225K,12.4M,1431.0M,38.9M,18.0,19.2944,74.1666641235,0.63,1.32,1085.24
hood,221K,10.8M,1124.1M,34.2M,16.0,15.2679,73.6222000122,0.49,1.05,1067.68
inline_1,504K,36.8M,6660.9M,253.1M,13.0,117.1748,56.8457260132,3.23,8.45,788.54
ldoor,952K,46.5M,4817.8M,145.4M,16.0,65.9125,73.0933151245,2.09,4.47,1078.14
m_t1,98K,9.8M,2109.0M,36.5M,28.0,27.6733,76.2115936279,0.73,1.93,1092.7
oilpan,74K,3.6M,377.7M,11.6M,16.0,3.9391,95.8961486816,0.15,0.25,1536.8
opt1,15K,1.9M,538.3M,8.2M,32.0,6.9843,77.0788803101,0.13,0.57,949.46
ramage02,17K,2.9M,1070.4M,14.6M,36.0,11.8169,90.5813217163,0.22,0.95,1121.53
s3dkq4m2,90K,4.8M,516.3M,13.3M,19.0,5.6212,91.8463592529,0.18,0.39,1326.19
s3dkt3m2,90K,3.8M,312.8M,10.1M,15.0,3.5598,87.8769454956,0.15,0.21,1490.35
ship_001,35K,4.6M,1448.1M,25.6M,28.0,17.7704,81.4912185669,0.38,1.32,1095.41
ship_003,122K,8.1M,1159.3M,32.8M,17.0,18.0962,64.0655136108,0.47,1.35,861.71
shipsec1,141K,7.8M,901.3M,24.1M,18.0,14.8891,60.5327758789,0.4,1.11,813.21
shipsec5,180K,10.1M,1189.8M,32.3M,18.0,19.9287,59.7014694214,0.57,1.44,823.54
shipsec8,115K,6.7M,817.4M,22.7M,17.0,13.3836,61.0737876892,0.35,1.0,821.16
srb1,55K,3.0M,322.1M,8.4M,19.0,3.7343,86.2674255371,0.11,0.26,1229.11
thread,30K,4.5M,1476.3M,24.7M,29.0,20.1661,73.208114624,0.38,1.64,897.84
trdheim,22K,1.9M,385.3M,6.7M,28.0,3.578,107.6859588623,0.12,0.24,1625.05
troll,213K,12.0M,1416.8M,41.8M,16.0,20.6884,68.4830932617,0.62,1.47,963.88
tsyl201,21K,2.5M,616.5M,8.3M,37.0,10.3282,59.6865768433,0.15,0.88,698.77
vanbody,47K,2.3M,261.3M,8.1M,16.0,4.1429,63.0817756653,0.11,0.31,844.67
x104,108K,10.2M,2092.5M,38.7M,27.0,27.9332,74.9124679565,0.7,2.03,1030.51
a2nnsnsl,80K,0.3M,367.6M,158.3M,1.0,650.808,0.5648370981,3.03,63.9,5.75
bloweya,30K,0.2M,201.7M,100.4M,1.0,574.1105,0.3513609767,4.51,53.69,3.76
brainpc2,28K,0.2M,953.6M,190.7M,2.0,1297.0667,0.7351605296,25.4,106.32,8.97
sparsine,50K,1.5M,108.4M,18.7M,2.0,5.6126,19.3166980743,0.21,0.37,295.41
std1_Jac2,22K,1.2M,167.6M,11.4M,7.0,10.659,15.7271032333,0.25,0.83,203.02
std1_Jac3_db,22K,0.5M,107.2M,3.0M,17.0,1.3931,76.9470214844,0.06,0.08,1294.62
std1_Jac3,22K,1.5M,229.3M,13.4M,8.0,14.5905,15.7172327042,0.39,1.07,214.48
Zd_Jac2_db,23K,0.7M,134.2M,4.1M,16.0,1.7644,76.0678634644,0.06,0.11,1190.9
Zd_Jac2,23K,1.6M,230.7M,15.4M,7.0,11.2581,20.4927902222,0.2,0.93,248.69
Zd_Jac3_db,23K,0.7M,152.6M,4.2M,18.0,1.9086,79.9337387085,0.07,0.12,1246.42
Zd_Jac3,23K,1.9M,318.0M,18.0M,8.0,15.9814,19.9002532959,0.28,1.33,238.67
Zd_Jac6_db,23K,0.7M,134.2M,3.8M,17.0,1.7614,76.1957550049,0.06,0.11,1188.76
Zd_Jac6,23K,1.7M,254.3M,15.5M,8.0,11.6343,21.8605175018,0.21,0.96,263.88
bundle1,11K,0.8M,948.7M,24.1M,19.0,32.2274,29.4364318848,0.71,2.52,377.02
CO,221K,7.7M,553.5M,100.1M,2.0,27.131,20.4001159668,0.73,1.95,284.39
Ga10As10H30,113K,6.1M,2196.2M,75.2M,14.0,57.0486,38.4973716736,1.36,4.35,504.3
Ga19As19H42,133K,8.9M,4020.6M,108.1M,18.0,97.4709,41.249206543,1.88,7.97,504.66
Ga41As41H72,268K,18.5M,8505.2M,231.5M,18.0,217.3943,39.1235923767,3.23,18.36,463.21
Ge87H76,113K,7.9M,2939.1M,99.1M,14.0,79.4612,36.9873886108,1.15,6.84,429.39
Ge99H100,113K,8.5M,3284.0M,105.8M,15.0,88.3193,37.1836128235,1.25,7.51,437.03
H2O,67K,2.2M,149.7M,27.7M,2.0,7.7101,19.4188709259,0.32,0.48,313.55
Si10H16,17K,0.9M,224.5M,10.9M,10.0,5.5974,40.1135177612,0.14,0.42,530.81
Si34H36,98K,5.2M,1472.3M,65.2M,11.0,42.8417,34.3662757874,0.73,3.35,440.01
Si41Ge41H72,186K,15.0M,8413.4M,173.8M,24.0,193.2799,43.5295677185,3.14,16.16,520.52
Si87H76,240K,10.7M,1703.2M,141.3M,6.0,53.226,31.998462677,1.04,4.24,401.92
SiO,33K,1.3M,328.8M,15.8M,10.0,7.7248,42.5696601868,0.21,0.58,571.8
net100,30K,2.0M,476.4M,121.2M,1.0,337.4561,1.411696434,2.3,31.48,15.13
net125,37K,2.6M,687.8M,175.1M,1.0,627.9832,1.0951942205,3.14,60.39,11.39
net150,44K,3.1M,934.4M,238.0M,1.0,1016.5514,0.9192025065,8.48,96.24,9.71
net50,16K,0.9M,159.5M,40.6M,1.0,55.3759,2.8794937134,0.52,5.04,31.67
net75,23K,1.5M,300.3M,76.4M,1.0,156.6563,1.9168239832,1.46,14.27,21.05
pf2177,10K,0.7M,129.0M,19.9M,3.0,14.7687,8.737247467,0.31,1.19,108.6
fp,8K,0.8M,533.3M,12.3M,21.0,11.0472,48.2762069702,0.16,0.95,560.27
rajat31,4690K,20.3M,187.5M,53.1M,1.0,23.5272,7.9690752029,1.46,0.83,224.89
laminar_duct3D,67K,3.8M,572.1M,18.9M,15.0,9.105,62.8338661194,0.26,0.65,875.31
thermal2,1228K,8.6M,121.5M,24.0M,2.0,12.2577,9.9135885239,0.77,0.49,248.3
F1,344K,26.8M,5335.0M,224.5M,11.0,104.5983,51.0048599243,2.6,7.72,691.38
bloweybl,30K,0.1M,200.9M,100.3M,1.0,437.3961,0.4594003856,3.77,40.07,5.01
bloweybq,10K,0.1M,200.8M,100.0M,1.0,397.8132,0.5046584606,4.09,35.76,5.61
filter3D,106K,2.7M,171.9M,20.2M,4.0,6.7516,25.4627590179,0.31,0.38,448.39
gyro,17K,1.0M,155.8M,5.8M,13.0,3.1024,50.2176170349,0.09,0.22,697.69
t3dh,79K,4.4M,511.9M,25.0M,10.0,12.2351,41.8370666504,0.31,0.92,554.34
